原始链接,新链接,源内容ID,目标内容ID
/upfiles/image/20180303094212.jpg,/static/upfiles/old/20180303094212.jpg,810,405
http://www.tttou.com.cn/sanyuan-img/upfiles/image/20141127145757.jpg,/static/upfiles/old/20141127145757.jpg,671,348
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile/09102009219.jpg,/static/upfiles/old/09102009219.jpg,451,280
/upfiles/image/20180704133230.jpg,/static/upfiles/old/20180704133230.jpg,815,410
http://www.tttou.com.cn/sanyuan-img/upfiles/image/20150109130726.jpg,/static/upfiles/old/20150109130726.jpg,673,350
/upfiles/image/20160216080033.jpg,/static/upfiles/old/20160216080033.jpg,734,370
http://www.tttou.com.cn/sanyuan-img/upfiles/image/20140714091618.jpg,/static/upfiles/old/20140714091618.jpg,664,342
/upfiles/image/20180303093912.jpg,/static/upfiles/old/20180303093912.jpg,810,405
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/20135991637391.jpg,/static/upfiles/old/20135991637391.jpg,647,331
/upfiles/image/20171226091033.jpg,/static/upfiles/old/20171226091033.jpg,799,398
/upfiles/image/20191009110304.jpg,/static/upfiles/old/20191009110304.jpg,825,417
http://www.tttou.com.cn/sanyuan-img/upfiles/image/20140901083353.jpg,/static/upfiles/old/20140901083353.jpg,666,344
/upfiles/image/20181229104749.jpg,/static/upfiles/old/20181229104749.jpg,819,413
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/20118298444567.jpg,/static/upfiles/old/20118298444567.jpg,607,298
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/2012710153112535.jpg,/static/upfiles/old/2012710153112535.jpg,630,317
http://www.tttou.com.cn/sanyuan-img/upfiles/image/20140714091635.jpg,/static/upfiles/old/20140714091635.jpg,664,342
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/201351392928964.jpg,/static/upfiles/old/201351392928964.jpg,650,332
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/2012727145241470.jpg,/static/upfiles/old/2012727145241470.jpg,632,319
http://t.qdyujin.cn/d/file/content/2019/12/5e0afae42c728.jpg,/static/upfiles/old/5e0afae42c728.jpg,828,420
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/2012710153044936.jpg,/static/upfiles/old/2012710153044936.jpg,630,317
http://www.tttou.com.cn/sanyuan-img/upfiles/image/20150511121307.jpg,/static/upfiles/old/20150511121307.jpg,692,357
http://www.tttou.com.cn/sanyuan-img/upfiles/image/20140714091256.jpg,/static/upfiles/old/20140714091256.jpg,664,342
/upfiles/image/20160118075227.jpg,/static/upfiles/old/20160118075227.jpg,728,366
http://www.tttou.com.cn/sanyuan-img/upfiles/image/20141020083327.jpg,/static/upfiles/old/20141020083327.jpg,670,347
http://www.tttou.com.cn/sanyuan-img/upfiles/image/20140711145013.jpg,/static/upfiles/old/20140711145013.jpg,662,340
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/20121228142154859.jpg,/static/upfiles/old/20121228142154859.jpg,644,328
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/2011108103731799.jpg,/static/upfiles/old/2011108103731799.jpg,609,300
/upfiles/image/20160728173417.png,/static/upfiles/old/20160728173417.png,767,379
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/2012101113447728.jpg,/static/upfiles/old/2012101113447728.jpg,637,323
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/20121011134318110.jpg,/static/upfiles/old/20121011134318110.jpg,637,323
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/20121011133544542.jpg,/static/upfiles/old/20121011133544542.jpg,637,323
/upfiles/image/20180222122142.jpg,/static/upfiles/old/20180222122142.jpg,808,404
/upfiles/image/20171123133306.jpg,/static/upfiles/old/20171123133306.jpg,785,387
